Code,BF URL,Estate URL,Variant,Mann URL,Mann Variant,,,
P330,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374735546,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,3.0 Metre (9ft 10"),,,
P324,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374833850,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
P318,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374801082,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,1.8 Metre (5ft 11"),,,
A,https://bingleyfencing.co.uk/products/featheredge-fence-panel?variant=40977547854010,https://www.estatesawmills.com/product/straight-top-feathered-edge/,6 x 2,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/value-featheredge-panel-flat-top/,n/a,,,
B,https://bingleyfencing.co.uk/products/featheredge-fence-panel?variant=40977547886778,https://www.estatesawmills.com/product/straight-top-feathered-edge/,6 x 3,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/value-featheredge-panel-flat-top/,0.9 METER (3FT),,,
C,https://bingleyfencing.co.uk/products/featheredge-fence-panel?variant=40977547919546,https://www.estatesawmills.com/product/straight-top-feathered-edge/,6 x 4,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/value-featheredge-panel-flat-top/,1.2 METER (4FT),,,
D,https://bingleyfencing.co.uk/products/featheredge-fence-panel?variant=40977547952314,https://www.estatesawmills.com/product/straight-top-feathered-edge/,6 x 5,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/value-featheredge-panel-flat-top/,1.5 METER (5FT),,,
E,https://bingleyfencing.co.uk/products/featheredge-fence-panel?variant=40977547985082,https://www.estatesawmills.com/product/straight-top-feathered-edge/,6 x 6,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/value-featheredge-panel-flat-top/,1.8M METER (6FT),,,
F,https://bingleyfencing.co.uk/products/overlap-fence-panels?variant=41059453894842,https://www.estatesawmills.com/product/tanalised-overlap/,6 x 3,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/green-pressure-treated-lap-panel-waney-edge/,0.9 METER (3FT),,,
G,https://bingleyfencing.co.uk/products/overlap-fence-panels?variant=41059453960378,https://www.estatesawmills.com/product/tanalised-overlap/,6 x 4,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/green-pressure-treated-lap-panel-waney-edge/,1.2 METER (4FT),,,
H,https://bingleyfencing.co.uk/products/overlap-fence-panels?variant=41059454025914,https://www.estatesawmills.com/product/tanalised-overlap/,6 x 5,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/green-pressure-treated-lap-panel-waney-edge/,1.5 METER (5FT),,,
I,https://bingleyfencing.co.uk/products/overlap-fence-panels?variant=41059454091450,https://www.estatesawmills.com/product/tanalised-overlap/,6 x 6,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/green-pressure-treated-lap-panel-waney-edge/,1.8M METER (6FT),,,
